date,confirmed,deaths,recovered
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,6,0,0
2020-03-09,7,0,0
2020-03-10,11,0,0
2020-03-11,11,0,0
2020-03-12,15,0,0
2020-03-13,28,0,0
2020-03-14,38,0,0
2020-03-15,43,0,0
2020-03-16,86,0,0
2020-03-17,117,0,1
2020-03-18,145,0,1
2020-03-19,234,0,1
2020-03-20,234,3,1
2020-03-21,318,5,1
2020-03-22,363,5,1
2020-03-23,395,5,1
2020-03-24,416,7,1
2020-03-25,480,9,1
2020-03-26,580,9,14
2020-03-27,635,11,16
2020-03-28,671,16,16
2020-03-29,852,18,16
2020-03-30,950,24,53
2020-03-31,1065,30,394
2020-04-01,1323,38,394
2020-04-02,1414,55,537
2020-04-03,1595,61,537
2020-04-04,1746,73,914
2020-04-05,2281,83,989
2020-04-06,2561,92,997
2020-04-07,2954,107,1301
2020-04-08,4342,121,1333
2020-04-09,5256,138,1438
2020-04-10,5897,169,1569
2020-04-11,6848,181,1739
2020-04-12,7519,193,1798
2020-04-13,9784,216,2642
2020-04-14,10303,230,2869
2020-04-15,11475,254,3108
2020-04-16,12491,274,6120
2020-04-17,13489,300,6541
2020-04-18,14420,348,6684
2020-04-19,15628,400,6811
2020-04-20,16325,445,6968
2020-04-21,17837,484,6982
2020-04-22,19250,530,7027
2020-04-23,20914,572,7422
2020-04-24,21648,634,7496
2020-04-25,25331,700,7797
2020-04-26,27517,728,8088
2020-04-27,28699,782,8425
2020-04-28,31190,854,9179
2020-04-29,33931,943,10037
2020-04-30,36976,1051,10405
2020-05-01,40459,1124,11129
2020-05-02,42534,1200,12434
2020-05-03,45928,1286,13550
2020-05-04,47372,1344,14427
2020-05-05,51189,1444,15413
2020-05-06,54817,1533,17527
2020-05-07,58526,1627,18388
2020-05-08,61847,1714,19012
2020-05-09,65015,1814,20246
2020-05-10,67307,1889,21349
2020-05-11,68822,1961,22406
2020-05-12,72059,2057,23324
2020-05-13,76306,2169,24324
2020-05-14,80604,2267,25151
2020-05-15,84495,2392,27147
2020-05-16,88541,2523,28272
2020-05-17,92273,2648,28621
2020-05-18,94933,2789,30306
2020-05-19,99483,2914,36524
2020-05-20,104020,3024,41968
2020-05-21,108769,3148,43587
